PROFILE_ID;RespawnTime;DeliveryTime;NetCooldown;SplitChance;StartCellCount;DC_Exp;DC_Lin;DC_Const;MinDeliveryCount;SandwichCarryLimit;RequiredNutrients
13;10;120;600;10;15;0;10;-4;5;15;5

TIME;Players;Spectators
0;6;0

TIME;Total;Adult;Child;Infected
1;15;15;0;0
2;15;15;0;0
3;14;14;0;0
4;14;14;0;0
5;14;14;0;0
6;14;13;0;1
7;11;9;0;2
8;12;8;2;2
9;12;10;0;2
10;13;9;2;2
11;14;10;2;2
12;15;11;2;2
13;14;12;0;2
14;13;11;0;2
15;14;10;2;2
16;13;9;0;4
17;14;8;2;4
18;14;10;0;4
19;13;10;0;3
20;12;9;0;3
21;12;9;0;3
22;13;7;2;4

TOTAL_TIME_TICKS;Winner;Reason
8895;2;1
